id,date,text,author_name,retweets,likes
8.66587427019915E+017,Mon May 22 15:01:57 IST 2017,RT @harbhajan_singh: Fantastic way to finish 10 years.. what a great feeling.. congratulations @mipaltan thank u each and everyone.…,InHopeToGetYou,0,0
8.66587430962549E+017,Mon May 22 15:01:58 IST 2017,"RT @SirJadeja: #Dhoni Hater's Logic: Steve Smith Took #RPS To #IPLfinal, But #RPS Lost Because Of #MSDhoni. 😂😂😂🙏🏾🙏🏾🙏🏾 #IPL #RPSvsMI #RPSvM…",sivaprakasheee7,0,0
8.6658743089116E+017,Mon May 22 15:01:58 IST 2017,"RT @ImRo45: Winning takes talent, to repeat takes character, grit and intelligence. What a brilliant final to be part of @mipaltan #IPLfinal",sahu_ghanchi217,0,0
8.66587432598123E+017,Mon May 22 15:01:59 IST 2017,RT @SirJadeja: 23 Needed Off 12 Balls With #Goenka's King Struggling Out In The Jungle.😂😂😂 #IPL #Dhoni #RPSvsMI #RPSvMI #MIvRPS #Dhoni #Ra…,imAambat,0,0
8.66587435127452E+017,Mon May 22 15:01:59 IST 2017,RT @ViratGang: [PICS] [EXCLUSIVE] A happy ending... Thank you for supporting Captain @imVkohli & @RCBTweets this season Viratians!…,AnandNa38747591,0,0
8.6658743951054E+017,Mon May 22 15:02:00 IST 2017,RT @mipaltan: The moment we were crowned champions! It doesn't get any better than this! 💪🏆😍 #CricketMeriJaan #IPLfinal #BELI3VE https://t…,InHopeToGetYou,0,0
8.66587440991031E+017,Mon May 22 15:02:01 IST 2017,RT @CricCrazyNIKS: Also this should be the first time a team finishing first has won the #IPL? Deserved winners. Had a dominant IPL season.,feat_gautham,0,0
8.6658744948029E+017,Mon May 22 15:02:03 IST 2017,Retweeted Sir Ravindra Jadeja (@SirJadeja): Mumbai Indians Wins The #IPLFinal With Just 1 Run. What A Match.... https://t.co/gRnYRZ4gJN,imAambat,0,0
8.66587449505571E+017,Mon May 22 15:02:03 IST 2017,RT @mipaltan: Let's get that party started! 💙😎 #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/bLXUW07qOU,InHopeToGetYou,0,0
8.66587454677148E+017,Mon May 22 15:02:04 IST 2017,"cricbuzz: After more than one and a half months, it all came down to one run as mipaltan clinched their 3rd #IPL t… https://t.co/gCMvIofb48",Voldemort_UK,0,0
8.66587459131392E+017,Mon May 22 15:02:05 IST 2017,RT @SirJadeja: #Goenka's King Of The Jungle Departs Scoring Run A Ball. Not Everyone Can Be #MSDhoni #IPL #Dhoni #RPSvsMI #RPSvMI #MIvRPS…,imAambat,0,0
8.66587476445413E+017,Mon May 22 15:02:09 IST 2017,RT @ESPNcricinfo: #IPL champions 2008: RR 2009: DC 2010: CSK 2011: CSK 2012: KKR 2013: MI 2014: KKR 2015: MI 2016: SRH 2017: MI Whic…,hasan_hasanimam,0,0
8.66587483018056E+017,Mon May 22 15:02:11 IST 2017,RT @mipaltan: Living the dream! #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/2QjUrpgrjk,InHopeToGetYou,0,0
8.665874930886E+017,Mon May 22 15:02:13 IST 2017,"RT @IndiaToday: To be able to defend a score like this was a brilliant effort, I couldn't ask for more: Rohit Sharma #IPLfinal…",RushikeshRMore,0,0
8.66587496657944E+017,Mon May 22 15:02:14 IST 2017,"RT @mipaltan: ""130 from the outside was an easy score to get."" #RohitSharma Our boys made it tough and impossible. #CricketMeriJaan #MI #…",InHopeToGetYou,0,0
8.66587508464902E+017,Mon May 22 15:02:17 IST 2017,"RT @mipaltan: ""Johnson's last over was crucial - 2 wickets there changed the momentum."" You said it skipper! 🙌 #CricketMeriJaan #MI #IPLfi…",InHopeToGetYou,0,0
8.66587513040908E+017,Mon May 22 15:02:18 IST 2017,"RT @mipaltan: ""This final will be very special, because of the way we came & did the job."" The best of the 4 for @ImRo45. #CricketMeriJaan…",InHopeToGetYou,0,0
8.66587514513089E+017,Mon May 22 15:02:18 IST 2017,RT @NitaMAmbani: We should be people of faith who believe that God answers prayers of those who seek His will .. ❤ #IPLfinal #IPL…,jnandeepbhuyan1,0,0
8.66587524239696E+017,Mon May 22 15:02:20 IST 2017,"RT @mipaltan: ""When you have bowlers like those, it makes your job easier."" #RohitSharma is a relaxed captain, on the field. #CricketMeri…",InHopeToGetYou,0,0
8.66587539003421E+017,Mon May 22 15:02:24 IST 2017,"RT @sagarcasm: This week, we learnt the importance of 1: #IPLFinal can be won by MI by 1 run Pakistan can be humiliated by Harish Salve i…",mohan6889,0,0
8.66587538861023E+017,Mon May 22 15:02:24 IST 2017,"RT @ImRo45: Winning takes talent, to repeat takes character, grit and intelligence. What a brilliant final to be part of @mipaltan #IPLfinal",Saurabh18091989,0,0
8.66587545425125E+017,Mon May 22 15:02:25 IST 2017,"RT @mipaltan: ""Tonight's going to be a good night!"" #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/9FbM5YjOOq",InHopeToGetYou,0,0
8.66587546570166E+017,Mon May 22 15:02:26 IST 2017,RT @Babu_Bhaiyaa: Mumbai shouldn't have won #IPLfinal considering how pathetic their batting was.. and Pune doesn't deserve to win with thi…,sanpatil,0,0
